"site_id","obs.time","val1","val2"
"1","2018-01-01",4.24463037625,13.7527186441046
"4","2018-03-01",5.04471394526138,13.3129858414697
"5","2018-07-01",4.76970203671057,10.7043476096993
"7","2018-01-01",5.00044755354386,9.41690283452135
"8","2018-03-01",4.0262591200863,13.0370512902919
"11","2018-07-01",4.94620614664538,14.2103259494348
"12","2018-01-01",3.47800186936337,11.3704621006304
"15","2018-03-01",3.65301388596865,15.3033188533589
"16","2018-07-01",2.88196325735764,13.3834467224701
"17","2018-01-01",2.88390661678557,16.0223447037962
"18","2018-03-01",3.13884669437701,14.7492659026699
"19","2018-07-01",3.85298142942178,13.5270045000065
"20","2018-01-01",4.45897332757634,13.8771276815885
"21","2018-03-01",3.69289275738432,11.2001123303916
"22","2018-07-01",3.53907300458513,10.9209809772721
"23","2018-01-01",5.75147036098756,13.4993636210895
"24","2018-03-01",5.66440942601811,16.034507720393
"25","2018-07-01",6.00724375636375,12.5408675970236
"26","2018-01-01",7.16743644202007,14.843721356863
"28","2018-03-01",5.93429460386342,11.7206637276434
"30","2018-07-01",5.32064474528572,14.0810318374133
"31","2018-01-01",6.4013082879423,12.9607079793713
"32","2018-03-01",6.37712768348743,17.1947710923474
"34","2018-07-01",7.03125637899568,12.8434623341325
"36","2018-01-01",5.45858494621072,13.6613145670772
"37","2018-03-01",5.49698122963598,14.7860905704373
"38","2018-07-01",6.68303533049208,12.7309255154163
"40","2018-01-01",5.95068287442078,14.201436846503
"41","2018-03-01",6.20803303888554,14.6625215928708
"43","2018-07-01",5.17802448070462,11.3866955418269
"44","2018-01-01",5.49175596180644,13.9814971862128
"45","2018-03-01",4.60149420975255,15.4734874273814
"46","2018-07-01",5.36258471321053,16.5084461778251
"47","2018-01-01",2.57990426816622,18.4376545250569
"50","2018-03-01",2.88661727786162,12.9798309799318
"52","2018-07-01",3.24890058158576,10.2424384189689
"53","2018-01-01",5.66490705727646,13.73349758842
"55","2018-03-01",4.79421455748756,11.3160273358919
"56","2018-07-01",5.10761820557713,13.4922864973169
"58","2018-01-01",8.01845182357112,12.2564922901554
"59","2018-03-01",6.61075244873718,11.7438910344893
"61","2018-07-01",7.06866107413424,11.329767766894
"62","2018-01-01",5.07089659254543,14.8235542275628
"63","2018-03-01",5.97342496203032,11.1799125019009
"66","2018-07-01",5.57303219745907,15.34463542616
"67","2018-01-01",4.09656176037676,12.0604868470132
"69","2018-03-01",3.05510467617967,14.7705265586317
"70","2018-07-01",2.91566900037106,14.052987302989
"71","2018-01-01",5.01840565690104,15.1100864102972
"72","2018-03-01",5.31030100622548,11.0354904497781
"73","2018-07-01",5.02853526310053,13.9136043167186
"74","2018-01-01",4.61073248054074,16.7536722601495
"76","2018-03-01",5.20749639331483,12.4529335623653
"77","2018-07-01",4.694308674717,17.9817671696663
"78","2018-01-01",6.3563834842793,14.4801399705276
"79","2018-03-01",5.9826236772739,11.0142731773351
"80","2018-07-01",4.22469130697797,13.1692029032694
"81","2018-01-01",5.34889631120914,15.2946651773135
